S.No.,Name,Footprint,Supplier Part,Quantity
1,1000uF,CAP-D10.0×F5.0,,2
2,10k,R_AXIAL-0.3,,3
3,1N4007,DO-41_BD2.4-L4.7-P8.70-D0.9-RD,C82804,1
4,1N5819,DO-41_BD2.4-L4.7-P8.70-D0.9-RD,C88393,3
5,1N5822_C3018526,DO-201AD_BD5.3-L8.4-P12.50-D1.4-FD,C3018526,2
6,1k,R_AXIAL-0.3,,1
7,2.2k,R_AXIAL-0.3,,6
8,220,R_AXIAL-0.3,,1
9,3.3k,R_AXIAL-0.3,,1
10,4.7k,R_AXIAL-0.3,,1
11,470k,R_AXIAL-0.4,,2
12,470uF,CAP-D10.0×F5.0,,2
13,BC547BTF,TO-92-3_L4.9-W3.7-P2.54-L,C900798,1
14,ESP32 C3 Super Mini,ESP32-C3 SUPER MINI,HW-466AB â€“ ESP32-C3,1
15,ESP32-S3 Mini Development Board,ESP32-S3 MINI DEVELOPMENT BOARD,Waveshare ESP32-S3 Mini Development Board,2
16,HDR-F-2.54_1x2,HDR-F-2.54_1X2,C49661,2
17,HLK-10M05 - AC-DC-converter,HLK-10M05,,1
18,IRF9540,TO-220-3_L10.2-W4.6-P2.54-L,C18187958,2
19,IRLB8748PBF,TO-220-3_L10.0-W4.5-P2.54-L,C151540,3
20,K4-6×6_TH,KEY-TH_4P-L6.0-W6.0-P4.50-LS6.5,C136684,1
21,LED-TH-3mm_B,LED-TH_BD3.0_BLUE,C86881,1
22,LED-TH-3mm_G,LED-TH_BD3.0_GREEN,C85161,3
23,LED-TH-3mm_R,LED-TH_BD3.0_RED,C84774,2
24,LTC4412,TSOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,C3236178,2
25,PC817X3NSZWC,DIP-4_L6.5-W4.6-P2.54-LS7.6-BL-1,C39832427,1
26,SLA-05VDC-SL-C,RELAY-TH_SLA-XXVDC-XX-C,C87367,1
27,SmartElex 5V Buck Module,TPS5430 5VBUCK,DFRobot Multi-output DC-DC Buck Converter Module,2
29,TBLOCK,TBLOCK_2P,,1
30,TBLOCK-2P,TBLOCK_2P,,2
31,TBLOCK-3,TBLOCK_3,C293625,1
32,VALV1T,TBLOCK_2P,,5
33,XKC-Y26-V,XKC-Y26-V,,1
